day,int_col,multiplier
517,21,28.517371793
518,21,28.537518349
519,21,28.557718898
520,21,28.577973585
521,21,28.598282554
522,21,28.618645951
523,21,28.639063923
524,21,28.659536614
525,21,28.680064172
526,21,28.700646744
527,21,28.721284477
528,21,28.74197752
529,21,28.762726019
530,21,28.783530125
531,21,28.804389986
532,21,28.825305751
533,21,28.84627757
534,21,28.867305594
535,21,28.888389973
536,21,28.909530858
537,21,28.930728401
538,21,28.951982753
539,21,28.973294067
540,24,33.994662495
541,24,34.02144819
542,24,34.04830567
543,24,34.07523513
544,24,34.10223676
545,24,34.12931076
546,24,34.15645731
547,24,34.18367661
548,24,34.21096887
549,24,34.23833426
550,24,34.265773
551,24,34.29328527
552,24,34.32087128
553,24,34.34853121
554,24,34.37626527
555,24,34.40407367
556,24,34.43195658
557,24,34.45991423
558,24,34.4879468
559,24,34.51605449
560,24,34.54423752
561,24,34.57249608
562,24,34.60083037
563,24,34.62924059
564,24,34.65772696
565,24,34.68628966
566,24,34.71492892
567,24,34.74364493
568,24,34.7724379
569,24,34.80130803
570,24,34.83025554
571,24,34.85928062
572,24,34.88838349
573,24,34.91756436
574,24,34.94682344
575,24,34.97616092
576,24,35.00557703
577,24,35.03507198
578,24,35.06464597
579,24,35.09429922
580,24,35.12403195
581,24,35.15384435
582,24,35.18373665
583,24,35.21370907
584,24,35.24376181
585,24,35.27389509
586,24,35.30410913
587,24,35.33440414
588,24,35.36478034
589,24,35.39523796
590,24,35.42577719
591,24,35.45639828
592,24,35.48710142
593,24,35.51788686
594,24,35.54875479
595,24,35.57970546
596,24,35.61073907
597,24,35.64185585
598,24,35.67305602
599,24,35.70433981
600,24,35.73570744
601,24,35.76715914
602,24,35.79869512
603,24,35.83031563
604,24,35.86202087
605,24,35.89381109
606,24,35.9256865
607,24,35.95764734
608,24,35.98969384
609,24,36.02182622
610,24,36.05404471
611,24,36.08634955
612,24,36.11874097
613,24,36.15121919
614,24,36.18378446
615,24,36.216437
616,24,36.24917705
617,24,36.28200485
618,24,36.31492062
619,24,36.34792461
620,24,36.38101705
621,24,36.41419817
622,24,36.44746822
623,24,36.48082744
624,24,36.51427606
625,24,36.54781432
626,24,36.58144246
627,24,36.61516072
628,24,36.64896935
629,24,36.68286859
630,24,36.71685868
631,24,36.75093986
632,24,36.78511238
633,24,36.81937648
634,24,36.85373241
635,24,36.88818041
636,24,36.92272074
637,24,36.95735363
638,24,36.99207934
639,24,37.02689811
640,24,37.0618102
641,24,37.09681585
642,24,37.13191531
643,24,37.16710885
644,24,37.2023967
645,24,37.23777912
646,24,37.27325637
647,24,37.3088287
648,24,37.34449636
649,24,37.38025961
650,24,37.4161187
651,24,37.4520739
652,24,37.48812546
653,24,37.52427364
654,24,37.56051869
655,24,37.59686088
656,24,37.63330047
657,24,37.66983771
658,24,37.70647288
659,24,37.74320622
660,24,37.78003802
661,24,37.81696852
662,24,37.85399799
663,24,37.89112671
664,24,37.92835493
665,24,37.96568292
666,24,38.00311095
667,24,38.04063929
668,24,38.0782682
669,24,38.11599796
670,24,38.15382883
671,24,38.1917611
672,24,38.22979501
673,24,38.26793087
674,24,38.30616892
675,24,38.34450945
676,24,38.38295274
677,24,38.42149905
678,24,38.46014867
679,24,38.49890187
680,24,38.53775892
681,24,38.57672012
682,24,38.61578573
683,24,38.65495603
684,24,38.69423132
685,24,38.73361186
686,24,38.77309794
687,24,38.81268984
688,24,38.85238785
689,24,38.89219225
690,24,38.93210332
691,24,38.97212136
692,24,39.01224664
693,24,39.05247947
694,24,39.09282011
695,24,39.13326887
696,24,39.17382603
697,24,39.21449188
698,24,39.25526672
699,24,39.29615084
700,24,39.33714452
701,24,39.37824807
702,24,39.41946177
703,24,39.46078593
704,24,39.50222084
705,24,39.54376679
706,24,39.58542408
707,24,39.62719302
708,24,39.6690739
709,24,39.71106701
710,24,39.75317267
711,24,39.79539118
712,24,39.83772282
713,24,39.88016792
714,24,39.92272677
715,24,39.96539968
716,24,40.00818695
717,24,40.05108889
718,24,40.09410581
719,24,40.13723801
720,25,45.18048581
721,25,45.23456951
722,25,45.28879816
723,25,45.34317214
724,25,45.39769184
725,25,45.45235765
726,25,45.50716997
727,25,45.56212919
728,25,45.61723569
729,25,45.67248989
730,25,45.72789216
731,25,45.78344291
732,25,45.83914254
733,25,45.89499144
734,25,45.95099002
735,25,46.00713867
736,25,46.0634378
737,25,46.11988781
738,25,46.17648911
739,25,46.2332421
740,25,46.29014719
741,25,46.34720479
742,25,46.4044153
743,25,46.46177913
744,25,46.5192967
745,25,46.57696841
746,25,46.63479469
747,25,46.69277594
748,25,46.75091258
749,25,46.80920502
750,25,46.86765369
751,25,46.926259
752,25,46.98502138
753,25,47.04394124
754,25,47.103019
755,25,47.16225509
756,25,47.22164993
757,25,47.28120396
758,25,47.34091758
759,25,47.40079124
760,25,47.46082536
761,25,47.52102037
762,25,47.58137671
763,25,47.6418948
764,25,47.70257508
765,25,47.76341798
766,25,47.82442394
767,25,47.88559339
768,25,47.94692678
769,25,48.00842455
770,25,48.07008712
771,25,48.13191496
772,25,48.19390849
773,25,48.25606817
774,25,48.31839443
775,25,48.38088773
776,25,48.4435485
777,25,48.50637721
778,25,48.56937431
779,25,48.63254023
780,25,48.69587544
781,25,48.75938038
782,25,48.82305552
783,25,48.88690131
784,25,48.95091821
785,25,49.01510667
786,25,49.07946715
787,25,49.14400012
788,25,49.20870604
789,25,49.27358538
790,25,49.33863859
